time,high,low,open,volumefrom,volumeto,close
1745413200,94656.65,92908.47,93767.6,4319.17,405322488.96,93050.9
1745409600,93886.64,93445.34,93481.05,719.39,67418632.58,93767.6
1745406000,93797.55,93346.79,93754.82,552.78,51716998.95,93481.05
1745402400,93927.69,93374.57,93926.24,919.85,86106328.66,93754.82
1745398800,94409.73,93922.58,94306.57,716.95,67497124.79,93926.24
1745395200,94505.89,93944.29,94154.78,806.66,76032752.3,94306.57
1745391600,94263.58,93515.01,93664.38,710.77,66698456.71,94154.78
1745388000,93891.42,93454.86,93511.2,447.47,41927067.45,93664.38
1745384400,93694.59,93327.39,93694.59,634.46,59313196.82,93511.2
1745380800,93706.93,93059.03,93190.14,566.26,52829567.91,93694.59
1745377200,93235.24,92724.58,92898.58,739.88,68746230.62,93190.14
1745373600,93267.64,92643.7,92667.35,1092.28,101503034.12,92898.58
1745370000,93524.67,92630.8,92932.42,1161.86,108125172.36,92667.35
1745366400,93915.87,92842.77,93483.3,1429.9,133538656.12,92932.42
1745362800,93884.96,92821.06,92821.06,1758.9,164303869.35,93483.3
1745359200,93375.37,92558.83,93047.63,1835.62,170461086.94,92821.06
1745355600,93937.07,91123.42,91180.17,3277.63,302236150.15,93047.63
1745352000,91584.46,91132.08,91508.05,1173.41,107208004.38,91180.17
1745348400,91775.31,91015.86,91590.29,3043.39,278561349.35,91508.05
1745344800,91745.4,91230.56,91502.88,2266.85,207279901.35,91590.29
1745341200,91577.85,90743.04,90761.66,3061.73,279124758.45,91502.88
1745337600,91137.73,90718.42,91031.81,3048.52,277011506.23,90761.66
1745334000,91522.49,90480.31,90852.16,5038.72,458757404.89,91031.81
1745330400,91012.97,90086.62,90281.06,4585.47,415152289.51,90852.16
1745326800,90521.48,88970.11,89007.79,5810.89,522390351.31,90281.06
1745323200,89235.8,88502.23,88625.04,1519.5,134940780.83,89007.79
1745319600,88696.75,88488.03,88517.57,428.62,37976851.55,88625.04
1745316000,88596.2,88250.42,88570.02,306.74,27134982.21,88517.57
1745312400,88599.48,88328.19,88407.87,235.95,20869280.06,88570.02
1745308800,88681.37,88335.37,88479.62,329.7,29175394.83,88407.87
1745305200,88493.3,88172.36,88239.57,268.91,23756318.6,88479.62
1745301600,88452.39,87998.23,88388.25,361.18,31853590.19,88239.57
1745298000,88408.95,87974.7,88062.61,262.4,23137335.36,88388.25
1745294400,88369.12,88051.48,88164.66,324.03,28589126.46,88062.61
1745290800,88275.23,87841.62,88180.15,573.19,50494308.29,88164.66
1745287200,88673.56,87908.61,88409.12,798.15,70425672.62,88180.15
1745283600,88854.09,87514.56,87695.56,1624.49,143472737.18,88409.12
1745280000,87714.18,87084.84,87515.57,870.71,76133894.51,87695.56
1745276400,87616.21,87037.55,87167.13,504.1,43995414.22,87515.57
1745272800,87285.29,86935.9,87280.12,411.98,35875533.81,87167.13
1745269200,87382.22,86924.98,87360.25,439.24,38292137.73,87280.12
1745265600,87419.08,87143.53,87413.58,488.88,42648197.67,87360.25
1745262000,87482.14,86732.21,86802.35,1772.28,154620468.59,87413.58
1745258400,87051.63,86643.65,86862.84,915.46,79538049.75,86802.35
1745254800,87326.65,86385.92,87178.42,2317.25,201244653.33,86862.84
1745251200,88299.93,87055.41,88093.82,1943.3,170604179.47,87178.42
1745247600,88417.23,87953.82,88261.94,3378.33,298064625.96,88093.82
1745244000,88526.3,86963.91,87051.54,5330.44,469192774.96,88261.94
1745240400,87577.23,86796.76,87043.82,2703.54,235956292.14,87051.54
1745236800,87532.31,86969.68,86974.87,748.37,65307614.66,87043.82
1745233200,87351.64,86643.31,87347.17,569.64,49520401.07,86974.87
1745229600,87555.64,87250.43,87499.98,315.45,27555008.96,87347.17
1745226000,87772.39,87297.18,87568.51,408.57,35731604.12,87499.98
1745222400,87699.19,87411.62,87424.13,268.91,23539784.94,87568.51
1745218800,87599.14,87350.73,87512.44,294.87,25789628.25,87424.13
